"We use cookies!","Utilizamos cookies!"
"Hi, this website uses essential cookies to ensure its proper operation and tracking cookies to understand how you interact with it. The latter will be set only after consent. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">Let me choose</button>","Olá, este site utiliza cookies essenciais para garantir o seu correto funcionamento e cookies de rastreamento para entender como você interage com ele. Estes últimos serão definidos apenas após consentimento. <button type=""button"" data-cc=""c-settings"" class=""cc-link"">Deixe-me escolher</button>"
"Accept all","Aceitar todos"
"Reject all","Rejeitar todos"
"Cookie preferences","Preferências de cookies"
"Save settings","Guardar configurações"
"Cookie usage 📢","Utilização de cookies 📢"
"I use cookies to ensure the basic functionalities of the website and to enhance your online experience. You can choose for each category to opt-in/out whenever you want. For more details relative to cookies and other sensitive data, please read the full <a href=""#"" class=""cc-link"">privacy policy</a>.","Utilizo cookies para garantir as funcionalidades básicas do site e melhorar a sua experiência online. Pode optar por ativar/desativar cada categoria sempre que desejar. Para mais detalhes sobre cookies e outros dados sensíveis, por favor leia a <a href=""#"" class=""cc-link"">política de privacidade</a> completa."
"Strictly necessary cookies","Cookies estritamente necessários"
"These cookies are essential for the proper functioning of my website. Without these cookies, the website would not work properly.","Estes cookies são essenciais para o funcionamento adequado do meu site. Sem estes cookies, o site não funcionaria corretamente."
"Performance and Analytics cookies","Cookies de desempenho e análise"
"These cookies allow the website to remember the choices you have made in the past (such as your username, language, or the region you are in) and provide enhanced, more personal features. They may also be used to provide services you have requested such as watching a video or commenting on a blog. The information these cookies collect may be anonymized and they cannot track your browsing activity on other websites.","Estes cookies permitem que o site lembre-se das escolhas que fez no passado (como o seu nome de utilizador, idioma ou região em que se encontra) e forneça funcionalidades aprimoradas e mais pessoais. Também podem ser usados para fornecer serviços que tenha solicitado, como assistir a um vídeo ou comentar um blog. As informações recolhidas por estes cookies podem ser anonimizadas e não conseguem rastrear a sua atividade de navegação noutros sites."
"Advertisement and Targeting cookies","Cookies de publicidade e direcionamento"
"These cookies collect information about how you use the website, which pages you visited and which links you clicked on. All of the data is anonymized and cannot be used to identify you.","Estes cookies recolhem informações sobre como utiliza o site, quais páginas visitou e quais ligações clicou. Todos os dados são anonimizados e não podem ser usados para o identificar."
"For any queries in relation to our policy on cookies and your choices, please <a class=""cc-link"" href=""/contact"">contact us</a>.","Para quaisquer questões relacionadas com a nossa política de cookies e as suas escolhas, por favor <a class=""cc-link"" href=""/contact"">contacte-nos</a>."
"Used to distinguish users.","Utilizado para distinguir utilizadores."
"Domain","Domínio"
"Expiration","Expiração"
"2 years","2 anos"
"1 day","1 dia"
